Station,Vs30 (m/s),Actual Depth (m)
6C01,284.91910364671935,30.0
6C02,373.07783416693195,30.0
6C03,249.5317015852251,30.0
6C04,274.8741242633314,30.0
6C05,360.61273255128066,30.0
6C06,217.8182950748121,30.0
6C07,323.1614125361285,30.0
6C08,531.1177886337799,30.0
6C09,248.55750502267156,30.0
6C10,307.8300681335634,30.0
6C11,359.98058344969394,30.0
6C12,285.1446974663214,30.0
